name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Mandya,2023-01-19,30,14.3,21.1,28.5,14.3,20.9,10.3,54.5,0,0,0,,0,0,38.9,22.3,77.4,1016.3,60.2,15.9,261.4,22.5,9,10,2023-01-19 6:48:22,2023-01-19 18:17:48,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-20,28,13.8,20.7,27.4,13.8,20.7,11.8,59.5,0,0,0,,0,0,24.8,22.3,82.7,1016,31.1,16.6,272.1,23.5,9,10,2023-01-20 6:48:28,2023-01-20 18:18:19,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,VOMY"
Mandya,2023-01-21,27,16.1,21.5,26.9,16.1,21.4,13.5,62.9,0,0,0,,0,0,30.2,18.4,83.2,1015.5,76.5,14.6,249.7,21.8,9,10,2023-01-21 6:48:32,2023-01-21 18:18:50,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY,43263099999"
Mandya,2023-01-22,28,15.5,21.6,27.6,15.5,21.6,13,60.2,0,0,0,,0,0,30.6,22.3,82.2,1014.2,39.9,15.1,261.6,22.6,9,10,2023-01-22 6:48:36,2023-01-22 18:19:20,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-23,29,15.7,22.5,28.8,15.7,22.4,14.1,61.1,0,0,0,,0,0,37.4,21.6,80.5,1013.1,30.3,16.3,260.1,22.4,9,10,2023-01-23 6:48:38,2023-01-23 18:19:50,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43291099999,remote,VOMY"
Mandya,2023-01-24,27,17.2,21.7,27.6,17.2,21.7,17.4,77.9,0.4,100,12.5,rain,0,0,27.4,14.8,89.7,1013.6,55.5,14,179.8,15.6,8,10,2023-01-24 6:48:40,2023-01-24 18:20:19,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43289099999,43291099999,remote,VOMY,43263099999"
Mandya,2023-01-25,29,16.8,22.2,28.8,16.8,22.3,14.5,63.4,0,0,0,,0,0,34.9,15.8,83.2,1013.4,17.1,15.4,270.8,23.4,9,10,2023-01-25 6:48:40,2023-01-25 18:20:47,0.11,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY,43263099999"
Mandya,2023-01-26,29,15.7,22.2,28,15.7,21.9,11.9,56.2,0,0,0,,0,0,31.7,14.8,81.2,1013.8,36.2,14.7,266,22.9,9,10,2023-01-26 6:48:39,2023-01-26 18:21:16,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,VOMY"
Mandya,2023-01-27,30,15.4,22.2,28.3,15.4,21.9,11.2,54.5,0,0,0,,0,0,28.1,13,77,1013.6,47.4,14.5,237.5,20.5,9,10,2023-01-27 6:48:37,2023-01-27 18:21:43,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-28,30,15.2,22.3,28.2,15.2,21.9,9.1,47.9,0,0,0,,0,0,36,18.4,75.9,1013.3,10,15.3,280.3,24.2,10,10,2023-01-28 6:48:34,2023-01-28 18:22:11,0.25,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
